Day,unit,timestamp,sensor,genotype,g_alias,treatment,3D Leaf Area mm²,Canopy Light Penetration Depth mm,Convex Hull Area mm²,Convex Hull Area Coverage %,Convex Hull Aspect Ratio %,Convex Hull Circumference mm,Convex Hull Maximum Width mm,Digital Biomass mm³,GLI Average ,GLI [-1:-0.2] %,GLI [-0.2:0] %,GLI [0:0.15] %,GLI [0.15:0.3] %,GLI [0.3:0.6] %,GLI [0.6:1] %,Hue Average °,Hue [0:25] %,Hue [25:50] %,Hue [50:75] %,Hue [75:100] %,Hue [100:125] %,Hue [125:360] %,Lightness Average %,Lightness [0:25] %,Lightness [0:0] %,Lightness [25:50] %,Lightness [50:75] %,Lightness [75:100] %,Lightness [100:100] %,NDVI Average ,NDVI [-1:0] %,NDVI [0:0.15] %,NDVI [0.15:0.3] %,NDVI [0.3:0.45] %,NDVI [0.45:0.6] %,NDVI [0.6:1] %,NPCI Average ,NPCI [-1:-0.2] %,NPCI [-0.2:0] %,NPCI [0:0.2] %,NPCI [0.2:0.4] %,NPCI [0.4:0.6] %,NPCI [0.6:1] %,Plant Height Averaged mm,Plant Height Max mm,Projected Leaf Area mm²,PSRI Average ,PSRI [-4:-0.8] %,PSRI [-0.8:-0.4] %,PSRI [-0.4:-0.2] %,PSRI [-0.2:0] %,PSRI [0:0.2] %,PSRI [0.2:4] %,Saturation Average %,Saturation [0:0] %,Saturation [0:25] %,Saturation [25:50] %,Saturation [50:75] %,Saturation [75:100] %,Saturation [100:100] %,Surface Angle Average °,Voxel Volume Total mm³
23,81:02:01,08/11/2024 10:58,A,Col-0,col0,BP1.3,164.373,11.5211,409.141,36.6475,89.677,76.2032,25.6531,3114.6,0.351459,0,0,0.934579,19.6262,79.4393,0,104.996,0,0.560748,0,18.5047,79.8131,1.1215,8.72901,100,0,0,0,0,0,0.59287,0,0,0,2.61682,50.0935,47.2897,0.166702,0,1.30841,63.5514,34.5794,0.560748,0,18.9483,19.2064,149.94,0.0702174,0,0,0,1.30841,98.1308,0.560748,42.9279,0,1.86916,74.9533,23.1776,0,0,65.8095,535
26,81:02:01,11/11/2024 10:24,A,Col-0,col0,BP1.3,288.822,38.8099,832.516,31.1562,80.9445,113.604,41.9013,13485.9,0.336646,0,0,2.1322,22.3881,75.4797,0,103.812,0,0.21322,0.533049,24.4136,74.7335,0.10661,7.98975,100,0,0,0,0,0,0.594055,0,0,0,4.05117,39.339,56.6098,0.162029,0,1.17271,67.8038,30.9168,0.10661,0,46.6926,47.3017,259.38,0.0692166,0,0,0,1.17271,98.6141,0.21322,41.2663,0,4.371,82.9424,12.6866,0,0,63.9035,938
19,81:02:02,04/11/2024 13:34,A,Col-0,col0,BP1.4,203.593,5.02359,468.969,38.4588,73.3653,84.2193,32.0031,2105.91,0.361357,0,0,0.313972,13.3438,86.3422,0,104.081,0,0,0.470958,21.0361,78.4929,0,8.59844,100,0,0,0,0,0,0.590245,0,0,0,4.08163,46.7818,49.1366,0.18093,0,0.470958,61.3815,35.7928,2.35479,0,10.3437,10.5352,180.36,0.0764494,0,0,0,0.470958,98.9011,0.627943,44.4264,0,0.313972,74.8823,24.8038,0,0,62.3597,637
21,81:02:02,06/11/2024 14:15,A,Col-0,col0,BP1.4,359.393,5.41986,852.125,37.2197,72.3219,113.028,42.5281,4411.76,0.372884,0,0,0.185014,10.5458,89.2692,0,103.009,0,0,0,27.6596,72.2479,0.0925069,8.59228,100,0,0,0,0,0,0.599777,0,0,0,2.49769,43.7558,53.7465,0.207179,0,0.277521,50.0463,46.4385,3.23774,0,12.2756,12.5995,317.159,0.0821634,0,0,0,0.277521,99.7225,0,46.733,0,0.555042,63.8298,35.6152,0,0,61.9432,1081
23,81:02:02,08/11/2024 10:58,A,Col-0,col0,BP1.4,501.656,8.1493,1457.28,30.1258,76.2887,150.449,58.3112,8240.4,0.382714,0,0.13587,0.13587,8.55978,91.1685,0,104.459,0,0.271739,0.0679348,18.2065,81.3179,0.13587,8.17901,100,0,0,0,0,0,0.631312,0,0,0,0.951087,25.6114,73.4375,0.195693,0,0.679348,55.5027,40.625,3.19293,0,16.4264,16.6703,439.018,0.0703791,0,0,0,0.679348,98.981,0.339674,47.0911,0,0.271739,64.0625,35.394,0.271739,0,61.0609,1472
26,81:02:02,11/11/2024 10:24,A,Col-0,col0,BP1.4,866.236,8.46731,3057.84,24.9758,81.9053,215.762,75.0384,16094,0.360947,0,0.419048,1.14286,14.3238,84.1143,0,105.644,0.304762,0.228571,0.304762,14.5905,83.5429,1.02857,7.97223,99.9619,0,0.0380952,0,0,0,0.640619,0,0,0,1.98095,16.9905,81.0286,0.163579,0.114286,1.82857,66.4381,30.5905,1.02857,0,18.5792,18.7992,763.72,0.0585285,0,0,0.0761905,1.86667,97.7524,0.304762,43.7322,0,1.75238,74.2095,24.0381,0,0,61.8445,2625
19,82:01:01,04/11/2024 13:54,A,Col-0,col0,BP1.5,158.811,4.04246,306.156,45.1534,48.8187,70.9706,29.7469,2638.6,0.34188,0,0,1.02459,21.9262,77.0492,0,102.169,0.204918,0,0,31.9672,67.6229,0.204918,8.79876,100,0,0,0,0,0,0.580517,0,0,0,4.71311,52.2541,43.0328,0.18616,0,0.204918,56.5574,42.418,0.819672,0,16.6147,16.8085,138.24,0.08025,0,0,0,0.204918,99.3852,0.409836,42.9031,0,2.04918,77.6639,20.2869,0,0,60.5121,488
21,82:01:01,06/11/2024 14:17,A,Col-0,col0,BP1.5,386.035,7.5683,763.539,43.9189,86.8161,105.617,37.4556,7670.49,0.361245,0,0,0,15.7522,84.2478,0,102.284,0,0,0,33.1858,66.7257,0.0884956,8.53457,100,0,0,0,0,0,0.603052,0,0,0,2.74336,35.7522,61.5044,0.204148,0,0.0884956,48.1416,50.531,1.23894,0,19.8699,19.9781,335.338,0.0804862,0,0,0,0.0884956,99.7345,0.176991,45.548,0,1.32743,67.4336,31.2389,0,0,60.3046,1130
23,82:01:01,08/11/2024 11:00,A,Col-0,col0,BP1.5,668.178,7.1918,1377.9,42.7555,66.4226,143.29,57,11991.2,0.355424,0,0,0.260824,16.8492,82.8899,0,102.939,0,0,0.10433,27.1779,72.7178,0,8.67782,100,0,0,0,0,0,0.609799,0,0,0,1.25196,34.2201,64.5279,0.191474,0,0.260824,58.1638,39.541,2.03443,0,17.9461,17.9999,589.128,0.0747133,0,0,0,0.260824,99.6348,0.10433,44.3896,0,0.834637,74.9087,24.1002,0.156495,0,61.8484,1917
26,82:01:01,11/11/2024 10:27,A,Col-0,col0,BP1.5,675.669,23.0238,2083.5,28.846,76.3004,180.298,68.6417,23669.2,0.326726,0.195599,0.684597,0.782396,29.1443,69.1932,0,106.597,0.0488998,0,0.391198,15.9902,81.956,1.61369,8.42044,100,0,0,0,0,0,0.641248,0,0,0,5.62347,16.088,78.2885,0.128625,0,3.52078,77.5061,18.3374,0.635697,0,35.0307,35.9993,601.007,0.0504254,0,0,0.0977995,3.42298,94.2787,2.20049,39.095,0,3.61858,87.8729,8.50856,0,0,62.8121,2045
19,82:01:02,04/11/2024 13:54,A,Col-0,col0,BP1.6,77.9962,6.59639,208.805,32.3269,54.6685,60.8279,24.6876,1350.57,0.402578,0,0,0,2.84553,97.1545,0,101.284,0,0,0,37.8049,62.1951,0,8.40355,100,0,0,0,0,0,0.58269,0,0,0,2.03252,53.6585,44.3089,0.25357,0,0,29.2683,66.2602,4.47154,0,17.3159,17.4085,67.5001,0.106206,0,0,0,0,98.374,1.62602,51.7297,0,0,40.6504,59.3496,0,0,59.9307,246
21,82:01:02,06/11/2024 14:17,A,Col-0,col0,BP1.6,228.169,6.21846,641.516,32.183,83.2278,95.7961,34.9085,3704.19,0.358121,0,0,0.278164,15.1599,84.5619,0,100.425,0,0.139082,0.417246,44.9235,53.8248,0.69541,9.54653,100,0,0,0,0,0,0.545325,0,0,0,8.62309,71.7663,19.6106,0.225114,0,0.973574,36.0223,60.3616,2.64256,0,16.2344,16.8,206.459,0.10506,0,0,0,0.973574,97.7747,1.25174,46.3873,0,0.556328,65.0904,34.3533,0,0,64.8031,719
23,82:01:02,08/11/2024 11:00,A,Col-0,col0,BP1.6,367.799,16.4812,930.781,33.5521,84.1415,118.347,42.6676,9580.81,0.364505,0,0,0.56926,11.1006,88.3302,0,103.352,0,0,0,28.463,70.9677,0.56926,8.76126,100,0,0,0,0,0,0.592991,0,0,0,1.80266,49.1461,49.0512,0.195839,0,0.85389,52.9412,44.6869,1.51803,0,26.049,26.3999,312.296,0.080626,0,0,0,0.85389,99.1461,0,45.4691,0,1.42315,69.1651,29.4118,0,0,58.1135,1054
26,82:01:02,11/11/2024 10:27,A,Col-0,col0,BP1.6,512.88,24.8762,1558.25,28.0925,78.7898,154.543,59.3879,18258.4,0.341583,0,0.0616903,1.85071,23.8125,74.2751,0,104.205,0,0.185071,0.493523,25.293,73.2264,0.801974,8.67367,100,0,0,0,0,0,0.599624,0,0,0,3.63973,42.0111,54.3492,0.165307,0,2.03578,63.9729,33.066,0.925355,0,35.5998,36.5993,437.751,0.0683771,0,0,0,2.03578,97.3473,0.616903,41.9329,0,3.02283,76.5577,20.4195,0,0,58.597,1621
19,82:02:01,04/11/2024 13:54,A,Col-0,col0,BP1.7,58.7946,2.43223,2518.41,2.12277,8.76109,365.339,170.65,1023.58,0.247402,3.25581,18.1395,0,6.04651,72.5581,0,98.4601,0.930233,0,0,32.093,46.5116,20.4651,11.8307,93.4884,0,6.04651,0.465116,0,0,0.543964,0,0,0,19.5349,53.0233,27.4419,0.162912,0.465116,13.0233,35.814,50.2326,0.465116,0,17.4095,17.4085,53.4599,0.0639563,0,0,0.465116,13.0233,86.0465,0.465116,40.8982,0,16.7442,66.5116,16.7442,0,0,65.4035,215
21,82:02:01,06/11/2024 14:17,A,Col-0,col0,BP1.7,0,,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,0
23,82:02:01,08/11/2024 11:00,A,Col-0,col0,BP1.7,29.0442,1.53476,53.8125,50.5087,26.1027,34.3206,15.3792,348.558,0.335377,0,0,0.970874,17.4757,81.5534,0,99.3402,0,0,0.970874,51.4563,47.5728,0,9.60702,100,0,0,0,0,0,0.524216,0,0,0,7.76699,86.4078,5.82524,0.213731,0,0,48.5437,49.5146,1.94175,0,12.0009,11.9999,27.18,0.107335,0,0,0,0,97.0874,2.91262,43.7452,0,0,79.6116,20.3883,0,0,69.3595,103
26,82:02:01,11/11/2024 10:27,A,Col-0,col0,BP1.7,100.224,11.4596,902.516,9.47352,24.6847,147.38,65.411,2225,0.28683,0.597015,12.2388,0.895522,15.2239,71.0448,0,99.1458,2.08955,1.79104,0,28.9552,57.6119,9.55224,9.74993,97.3134,0,1.79104,0.895522,0,0,0.555745,0,0,0,11.6418,59.1045,29.2537,0.172729,0,6.56716,52.8358,38.806,1.79104,0,22.2003,22.1993,85.5,0.0758611,0,0,0.298507,6.26866,92.5373,0.895522,40.9406,0,11.0448,71.3433,17.6119,0,0,58.5487,335
19,82:02:02,04/11/2024 13:54,A,Col-0,col0,BP2.1,118.342,3.59608,281.719,37.6972,78.4341,63.3956,22.2971,1567.91,0.333983,0,0,1.71149,25.4279,72.8606,0,103.624,0,0,0.488998,31.0513,66.5037,1.95599,8.9696,100,0,0,0,0,0,0.554865,0,0,0,11.4914,59.1687,29.3399,0.166307,0,2.44499,62.8362,33.7408,0.977995,0,13.249,13.348,106.2,0.0784009,0,0,0,2.44499,96.088,1.46699,41.3746,0,3.91198,79.2176,16.8704,0,0,63.8179,409
21,82:02:02,06/11/2024 14:17,A,Col-0,col0,BP2.1,225.166,5.82501,467.609,42.189,91.0614,81.7368,27.2059,3320.49,0.340445,0,0.28777,1.29496,25.7554,72.6619,0,105.359,0,0.143885,0.57554,17.2662,80.2878,1.72662,8.78868,100,0,0,0,0,0,0.592699,0,0,0,6.47482,39.4245,54.1007,0.150954,0,3.88489,68.777,27.0504,0.28777,0,14.7468,15,197.28,0.0625806,0,0,0,3.88489,95.8273,0.28777,41.1465,0,3.88489,77.554,18.5612,0,0,61.1808,695
23,82:02:02,08/11/2024 11:00,A,Col-0,col0,BP2.1,390.844,9.59783,790.906,42.6038,72.6837,111.575,39.6227,6063.06,0.354975,0,0.175439,0.877193,17.5439,81.4035,0,103.564,0.175439,0.175439,0.350877,22.193,76.6667,0.438596,8.84404,100,0,0,0,0,0,0.598486,0,0,0,5.17544,38.2456,56.5789,0.18262,0,1.05263,60.9649,36.3158,1.66667,0,15.5127,15.5999,336.956,0.073341,0,0,0,1.05263,98.6842,0.263158,43.9814,0,2.45614,69.8246,27.7193,0,0,59.5563,1140
26,82:02:02,11/11/2024 10:27,A,Col-0,col0,BP2.1,645.779,18.7745,1527.53,37.7306,71.8667,153.997,54.85,15368,0.343928,0,0,0.897308,28.3151,70.7876,0,107.177,0,0.0498504,0.348953,11.4656,87.338,0.797607,8.54693,100,0,0,0,0,0,0.630981,0,0,0,3.29013,24.2273,72.4826,0.136227,0,2.79163,73.4297,22.8814,0.897308,0,23.7976,25.1993,576.346,0.0515648,0,0,0,2.79163,96.6102,0.598205,40.6842,0,3.93819,77.2183,18.8435,0,0,63.1888,2006
19,83:01:01,04/11/2024 13:59,A,Col-0,col0,BP2.2,224.246,3.33187,465.125,42.1435,71.4521,82.9966,31.1538,2794.52,0.325243,0,0,0.289017,34.9711,64.7399,0,103.853,0,0.144509,0,23.2659,76.4451,0.144509,9.04348,100,0,0,0,0,0,0.576475,0,0,0,5.49133,54.4798,40.0289,0.157832,0,0.867052,70.2312,28.7572,0.144509,0,12.4619,13.199,196.02,0.0697515,0,0,0,0.867052,98.6994,0.433526,39.9605,0,2.89017,81.7919,15.3179,0,0,60.9414,692
21,83:01:01,06/11/2024 14:19,A,Col-0,col0,BP2.2,415.823,3.20369,899.645,41.1355,76.2291,115.185,40.6453,5743.64,0.348536,0,0,0.880705,21.0568,78.0624,0,103.572,0,0.240192,0.560448,24.0993,74.4596,0.640512,8.58219,100,0,0,0,0,0,0.59872,0,0,0,4.0032,38.0304,57.9664,0.180644,0,1.36109,59.7278,37.3098,1.60128,0,13.8127,14.4007,370.073,0.0720934,0,0,0,1.36109,98.5588,0.0800641,43.2559,0,2.08167,72.0576,25.8607,0,0,62.8717,1249
23,83:01:01,08/11/2024 11:02,A,Col-0,col0,BP2.2,652.839,9.11816,1533.05,37.1487,87.4534,150.303,51.2956,12517.5,0.353151,0.35443,0.556962,1.62025,18.3797,79.0886,0,102.298,0.35443,1.16456,0.35443,23.4937,74.0253,0.607595,8.38664,99.443,0,0.556962,0,0,0,0.611398,0,0,0,3.6962,31.8987,64.4051,0.19492,0,0.253165,54.9367,42.3797,2.43038,0,19.1739,19.4245,569.507,0.0755329,0,0,0,0.253165,98.7848,0.962025,44.7351,0,1.77215,66.0253,32.2025,0,0,60.735,1975
26,83:01:01,11/11/2024 10:28,A,Col-0,col0,BP2.2,961.392,9.00153,3398.42,24.6549,81.1112,223.45,77.836,19788.2,0.340006,0.0680041,0.782047,2.68616,18.7011,77.7627,0,104.41,0.442027,0.612037,1.22407,15.3689,81.1289,1.22407,8.00676,99.898,0,0.102006,0,0,0,0.634953,0,0,0,4.9303,15.879,79.1908,0.156831,0,1.7001,69.7722,27.0316,1.49609,0,20.5828,20.9033,837.878,0.0586871,0,0,0,1.7001,97.5179,0.782047,41.5828,0,4.38626,78.3407,17.273,0,0,60.6382,2941
19,83:01:02,04/11/2024 13:59,A,Col-0,col0,BP2.3,147.382,3.13593,316.617,40.023,72.3012,68.5465,24.4311,1630.97,0.329701,0,0,0.425532,28.5106,71.0638,0,104.259,0,0,0.425532,28.5106,69.7872,1.2766,9.27336,100,0,0,0,0,0,0.569834,0,0,0,6.17021,55.3191,38.5106,0.155918,0,3.19149,68.2979,28.0851,0.425532,0,11.0663,11.249,126.72,0.0711314,0,0,0,3.19149,96.1702,0.638298,40.3904,0,1.2766,85.1064,13.617,0,0,59.2938,470
